path,ext,size_kb,mtime_utc,figure_role,training_vs_paper,cjk_in_path,likely_generator_script,likely_source_data,deprecated_hint,recommended_disposition,git_tracked
paper_assets/svg/publication_publication_fig02_speckle_response.svg,.svg,4944.9,2026-05-12T07:49Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/publication_publication_fig02_speckle_response_pseudocolor.svg,.svg,10522.5,2026-05-12T07:49Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/publication_publication_fig03_length_optimization.svg,.svg,166.0,2026-05-12T07:49Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/publication_publication_fig04_cross_fiber_auth.svg,.svg,122.4,2026-05-12T07:49Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,results/fiber_auth/auth_matrix.json; results/*/test_predictions.csv,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/publication_publication_fig04_length_optimization.svg,.svg,166.0,2026-05-12T07:49Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/publication_publication_fig05_dual_channel_robustness.svg,.svg,99.8,2026-05-12T07:49Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/publication_supplementary_fig_s1_ncc_hd.svg,.svg,88.4,2026-05-12T07:52Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
paper_assets/svg/publication_supplementary_fig_s2_reinstallation_robustness.svg,.svg,42.0,2026-05-12T07:52Z,publication_pack,paper_ready_or_near,False,scripts/collect_paper_assets.py,unknown,,redraw_or_copy_into_figures_paper,False
power_common_mode/Fiber1/P10/1.JPG,.jpg,99.0,2026-04-27T14:17Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P10/2.JPG,.jpg,99.2,2026-04-27T14:17Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P10/3.JPG,.jpg,98.9,2026-04-27T14:18Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P10/4.JPG,.jpg,98.9,2026-04-27T14:18Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P10/5.JPG,.jpg,98.9,2026-04-27T14:18Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P110/1.JPG,.jpg,358.6,2026-04-27T14:33Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P110/2.JPG,.jpg,358.4,2026-04-27T14:33Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P110/3.JPG,.jpg,358.4,2026-04-27T14:34Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P110/4.JPG,.jpg,358.1,2026-04-27T14:34Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P110/5.JPG,.jpg,358.1,2026-04-27T14:34Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P130/1.JPG,.jpg,380.5,2026-04-27T14:36Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P130/2.JPG,.jpg,380.1,2026-04-27T14:36Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P130/3.JPG,.jpg,380.3,2026-04-27T14:37Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P130/4.JPG,.jpg,379.9,2026-04-27T14:37Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P130/5.JPG,.jpg,380.0,2026-04-27T14:37Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P150/1.JPG,.jpg,384.4,2026-04-27T14:38Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P150/2.JPG,.jpg,384.4,2026-04-27T14:39Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P150/3.JPG,.jpg,384.3,2026-04-27T14:39Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P150/4.JPG,.jpg,384.3,2026-04-27T14:39Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P150/5.JPG,.jpg,384.1,2026-04-27T14:40Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P30/1.JPG,.jpg,190.6,2026-04-27T14:20Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P30/2.JPG,.jpg,190.8,2026-04-27T14:21Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P30/3.JPG,.jpg,190.6,2026-04-27T14:21Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P30/4.JPG,.jpg,190.4,2026-04-27T14:21Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P30/5.JPG,.jpg,190.5,2026-04-27T14:22Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P50/1.JPG,.jpg,257.1,2026-04-27T14:24Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P50/2.JPG,.jpg,257.7,2026-04-27T14:24Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P50/3.JPG,.jpg,257.7,2026-04-27T14:25Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P50/4.JPG,.jpg,257.5,2026-04-27T14:25Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P50/5.JPG,.jpg,257.5,2026-04-27T14:25Z,other,review_needed,False,,unknown,,review,False
power_common_mode/Fiber1/P70/1.JPG,.jpg,303.6,2026-04-27T14:27Z,other,review_needed,False,,unknown,,review,False
